w_t1,w_conv,w_fno,mean_iou,mean_fnr,h5_pass
0.0,0.0,1.0,0.524839535709822,0.10438896564750998,4
0.0,0.25,0.75,0.5446553951352964,0.1047131720240661,5
0.0,0.5,0.5,0.5668388125542264,0.12614601129479242,5
0.0,0.75,0.25,0.5947092985877018,0.15290530943932462,5
0.0,1.0,0.0,0.5811705188622278,0.2296461085634912,3
0.2,0.0,0.8,0.5369451821367521,0.08702144866891151,4
0.2,0.2,0.6,0.5595083427412055,0.08349581619713962,5
0.2,0.4,0.4,0.5821916741636789,0.10578545752069647,5
0.2,0.6,0.2,0.6155884542838069,0.12431351155457812,5
0.2,0.8,0.0,0.6150894109356776,0.18234426576664847,5
0.3,0.0,0.7,0.5453075497569699,0.07588824681498102,5
0.3,0.175,0.525,0.5677801507461446,0.07282163558736958,5
0.3,0.35,0.35,0.5950638503303026,0.09142433030222477,5
0.3,0.525,0.175,0.6199723897358892,0.1183862419276846,5
0.3,0.7,0.0,0.6188004284239577,0.16520087735069744,5
0.4,0.0,0.6,0.5502241202643198,0.07112928812251441,4
0.4,0.15,0.45,0.5752064573498344,0.06753343720589597,5
0.4,0.3,0.3,0.6080836734085355,0.07538592147310114,5
0.4,0.45,0.15,0.6170969494303165,0.11243061925597865,4
0.4,0.6,0.0,0.6184917565656435,0.15240284162599343,4
0.5,0.0,0.5,0.5595881068752324,0.05935168425720369,4
0.5,0.125,0.375,0.5872367589272586,0.05413984050874246,4
0.5,0.25,0.25,0.612844655137225,0.06226859944232495,4
0.5,0.375,0.125,0.6144490042272885,0.10351824344589364,4
0.5,0.5,0.0,0.6178263363128134,0.13483408161898439,3
0.6,0.0,0.4,0.565025238063114,0.05194058294568019,4
0.6,0.1,0.3,0.5856955132272947,0.047588179949170736,4
0.6,0.2,0.2,0.6012057234632517,0.05824238204789745,4
0.6,0.3,0.1,0.6093408405002505,0.08331764637421743,3
0.6,0.4,0.0,0.6069810327815014,0.12143483911195121,3
