name,w_tier1,iou_step6,fnr_step6,rmse_step6
sim_1000kw_1m2_T01,0.0,0.4941225860619252,0.019983347210641145,0.1338483835769832
sim_1000kw_1m2_T01,0.2,0.49476330121470685,0.016652789342200956,0.13960604899268883
sim_1000kw_1m2_T01,0.4,0.4987309644667941,0.018318068276421053,0.18267551329361417
sim_1000kw_1m2_T01,0.5,0.4999999999997869,0.023313905079081338,0.2119560150743439
sim_1000kw_1m2_T01,0.6,0.5049934867561854,0.031640299750181816,0.24404277893793114
sim_1000kw_1m2_T01,0.8,0.45384302561998624,0.07077435470435406,0.31312847897496515
sim_1000kw_1m2_T01,1.0,0.16421150565976675,0.11823480432962678,0.3858083031148445
sim_1000kw_1m2_T03,0.0,0.43637846655773394,0.0970464135020278,0.17277643599499193
sim_1000kw_1m2_T03,0.2,0.4462540716610561,0.07510548523200414,0.19630227193126903
sim_1000kw_1m2_T03,0.4,0.4602784602782718,0.051476793248901705,0.2764934438773876
sim_1000kw_1m2_T03,0.5,0.4737499999998026,0.04050632911388987,0.32614004130523583
sim_1000kw_1m2_T03,0.6,0.4825703485928255,0.0303797468354174,0.37893777229345327
sim_1000kw_1m2_T03,0.8,0.1270736562707225,0.0303797468354174,0.4898675259140038
sim_1000kw_1m2_T03,1.0,0.12016559538074734,0.06919831223622852,0.6046302212879546
sim_1000kw_2m2_T01,0.0,0.7541046200837136,0.08182240818220278,0.10299877458931385
sim_1000kw_2m2_T01,0.2,0.7515037593982137,0.07066480706644786,0.12344961474839546
sim_1000kw_2m2_T01,0.4,0.749165120593414,0.06136680613665208,0.19239309363099905
sim_1000kw_2m2_T01,0.5,0.7459677419352104,0.053928405392815466,0.233091906463972
sim_1000kw_2m2_T01,0.6,0.730796586059484,0.0446304044630197,0.2755624010022073
sim_1000kw_2m2_T01,0.8,0.5879396984922886,0.07531380753134574,0.3633158407151819
sim_1000kw_2m2_T01,1.0,0.26003924133417133,0.07577870757783553,0.4529971271648905
sim_1000kw_2m2_T05,0.0,0.7541692402715398,0.24019912881137517,0.13474336102652237
sim_1000kw_2m2_T05,0.2,0.7954405422055467,0.19663970130672165,0.15161080949886416
sim_1000kw_2m2_T05,0.4,0.8467444717442116,0.14219041692590473,0.2369113284606472
sim_1000kw_2m2_T05,0.5,0.876838235293849,0.10952084629741458,0.28864199057000556
sim_1000kw_2m2_T05,0.6,0.8983764281416421,0.07031736154322642,0.34289823389425517
sim_1000kw_2m2_T05,0.8,0.40519877675835814,0.010578718108272999,0.45534875101201333
sim_1000kw_2m2_T05,1.0,0.29931085863286466,0.0,0.570453189395883
sim_1500kw_1m2_T02,0.0,0.689479432107503,0.12557710064629474,0.11852339083241352
sim_1500kw_1m2_T02,0.2,0.703332139018021,0.0937211449676391,0.15688192032615175
sim_1500kw_1m2_T02,0.4,0.7135398538110986,0.05355493998150805,0.258981887413178
sim_1500kw_1m2_T02,0.5,0.7119509703776943,0.03462603878114745,0.31664219469337024
sim_1500kw_1m2_T02,0.6,0.6816129032255865,0.024469067405344196,0.3760676012187338
sim_1500kw_1m2_T02,0.8,0.20892892108868133,0.01477377654662291,0.49767218079557696
sim_1500kw_1m2_T02,1.0,0.2061365181085342,0.019852262234524538,0.6211472251408866
sim_1500kw_1m2_T03,0.0,0.5661108956957867,0.1267942583731299,0.14072093096806185
sim_1500kw_1m2_T03,0.2,0.579352850539068,0.10047846889946144,0.17258029947562853
sim_1500kw_1m2_T03,0.4,0.5990836197019477,0.061602870813360286,0.266859956926598
sim_1500kw_1m2_T03,0.5,0.6034155597720671,0.049043062200927606,0.32205998681916004
sim_1500kw_1m2_T03,0.6,0.6017365043410337,0.04665071770332138,0.37959612567376877
sim_1500kw_1m2_T03,0.8,0.1644320497693699,0.08313397129181631,0.4984183862426237
sim_1500kw_1m2_T03,1.0,0.16114249174036435,0.09569377990424899,0.6198364756769714
sim_1500kw_2m2_T05,0.0,0.7150289017338974,0.2835215754415628,0.1705187361967493
sim_1500kw_2m2_T05,0.2,0.7611897198958241,0.2366058499854513,0.1664015599115673
sim_1500kw_2m2_T05,0.4,0.8233429394810308,0.1726035331595214,0.24593806725077083
sim_1500kw_2m2_T05,0.5,0.8640161336788061,0.13147987257453475,0.29950335564009395
sim_1500kw_2m2_T05,0.6,0.8974431818179268,0.08514335360553572,0.3570221293629853
sim_1500kw_2m2_T05,0.8,0.3166147075004294,0.0,0.47814985249177316
sim_1500kw_2m2_T05,1.0,0.3166147075004294,0.0,0.6033017092547995
sim_500kw_1m2_T01,0.0,0.21119929453253475,0.014403292181040323,0.19438656209409869
sim_500kw_1m2_T01,0.2,0.22068965517231232,0.012345679012320277,0.1791434773161116
sim_500kw_1m2_T01,0.4,0.23741362290215332,0.01028806584360023,0.18469980420940424
sim_500kw_1m2_T01,0.5,0.25221932114869333,0.006172839506160138,0.19498231089179285
sim_500kw_1m2_T01,0.6,0.2825059101653177,0.016460905349760368,0.20940639662483454
sim_500kw_1m2_T01,0.8,0.3268511593116478,0.10082304526728227,0.24759532275943186
sim_500kw_1m2_T01,1.0,0.2939093484417182,0.14609053497912328,0.29405991534978254
sim_500kw_1m2_T02,0.0,0.3106918238992408,0.040155440414455755,0.19377575519955897
sim_500kw_1m2_T02,0.2,0.315345699831233,0.031088082901514134,0.20555694955283335
sim_500kw_1m2_T02,0.4,0.32136824324310753,0.014248704663193978,0.2635479476962837
sim_500kw_1m2_T02,0.5,0.32746781115865775,0.0116580310880678,0.3024841562372658
sim_500kw_1m2_T02,0.6,0.3276861346409596,0.047927461139834295,0.34519651479553615
sim_500kw_1m2_T02,0.8,0.11480107889411416,0.1178756476682411,0.4374505533199292
sim_500kw_1m2_T02,1.0,0.10466783495298634,0.14896373056975523,0.5348500552805662
sim_500kw_1m2_T03,0.0,0.22494529540471556,0.11379310344807966,0.24170962799090864
sim_500kw_1m2_T03,0.2,0.23863124718584483,0.08620689655157551,0.2378114972678026
sim_500kw_1m2_T03,0.4,0.2618251313902237,0.05517241379300832,0.27505017147226507
sim_500kw_1m2_T03,0.5,0.28094504365676376,0.05689655172403983,0.30506484521843164
sim_500kw_1m2_T03,0.6,0.3137254901958975,0.06206896551713437,0.34017409950799826
sim_500kw_1m2_T03,0.8,0.1027090235821277,0.09137931034467003,0.42041855843241116
sim_500kw_1m2_T03,1.0,0.06265356265355496,0.12068965517220571,0.5086773333349889
sim_500kw_1m2_T04,0.0,0.3221704111910461,0.028132992327329753,0.19287406061474605
sim_500kw_1m2_T04,0.2,0.32772746873638303,0.028132992327329753,0.18527116050592615
sim_500kw_1m2_T04,0.4,0.34139784946221263,0.025575447570299777,0.20315394877906306
sim_500kw_1m2_T04,0.5,0.3468550592523487,0.026854219948814765,0.22006251367421498
sim_500kw_1m2_T04,0.6,0.3603219696967991,0.026854219948814765,0.24091239574837775
sim_500kw_1m2_T04,0.8,0.3549760510908169,0.14705882352922373,0.2909074745040114
sim_500kw_1m2_T04,1.0,0.2750252780585061,0.30434782608656735,0.34790323996246986
sim_500kw_2m2_T02,0.0,0.599541459686435,0.09148812970463724,0.12544761813556207
sim_500kw_2m2_T02,0.2,0.6066314996229817,0.06774753908507948,0.1610643159334929
sim_500kw_2m2_T02,0.4,0.6052535570957296,0.03937463810072995,0.2542120158970858
sim_500kw_2m2_T02,0.5,0.6027936962748557,0.025477707006354676,0.30764231995041363
sim_500kw_2m2_T02,0.6,0.5819924683325635,0.015634047481172187,0.3630195836969149
sim_500kw_2m2_T02,0.8,0.23524567664009946,0.007527504342786608,0.4768858398319169
sim_500kw_2m2_T02,1.0,0.1627838395753305,0.04111175448752686,0.5929033707833729
sim_500kw_2m2_T05,0.0,0.7449715370016148,0.09413936317485273,0.10962792056330409
sim_500kw_2m2_T05,0.2,0.7515015015012194,0.0761421319796603,0.12540791946878854
sim_500kw_2m2_T05,0.4,0.7522091310748336,0.05722196585138107,0.18854343911499907
sim_500kw_2m2_T05,0.5,0.7449421965315228,0.04845408398705655,0.2269396369825836
sim_500kw_2m2_T05,0.6,0.7358757062144294,0.03830179972310185,0.26736255018155536
sim_500kw_2m2_T05,0.8,0.5941126521368258,0.03137978772495091,0.3514675612792709
sim_500kw_2m2_T05,1.0,0.2674865488085745,0.03645592985692826,0.43782276641842094
