name,w_tier1,iou_step6,fnr_step6,rmse_step6
sim_1000kw_1m2_T01,0.0,0.6286567164175352,0.12323064113228707,0.09361999690859228
sim_1000kw_1m2_T01,0.2,0.6420488385940191,0.10241465445453588,0.1262910929958856
sim_1000kw_1m2_T01,0.4,0.6190476190472639,0.10158201498742583,0.2047927096494303
sim_1000kw_1m2_T01,0.5,0.6061797752805583,0.10158201498742583,0.24897301576667857
sim_1000kw_1m2_T01,0.6,0.5883962780511284,0.10491257285586601,0.2945106942422776
sim_1000kw_1m2_T01,0.8,0.26190476190469764,0.1115736885927464,0.3877356236285599
sim_1000kw_1m2_T01,1.0,0.147871440654053,0.12656119900072726,0.4824387552721399
sim_1000kw_1m2_T03,0.0,0.5045099218277183,0.2919831223626228,0.13276941441538412
sim_1000kw_1m2_T03,0.2,0.54539987973509,0.2345991561179455,0.1487495553703358
sim_1000kw_1m2_T03,0.4,0.5654205607473333,0.1831223628690438,0.21598846438051955
sim_1000kw_1m2_T03,0.5,0.5602512849796915,0.17215189873403194,0.2577266186945455
sim_1000kw_1m2_T03,0.6,0.5681306306303108,0.1485232067509295,0.30199582870369607
sim_1000kw_1m2_T03,0.8,0.19944547134931617,0.08945147679317346,0.3946869788903503
sim_1000kw_1m2_T03,1.0,0.16103739445112167,0.09873417721510655,0.49028564135644503
sim_1000kw_2m2_T01,0.0,0.742602351033343,0.14830311483024253,0.10173735016430198
sim_1000kw_2m2_T01,0.2,0.7473182359949355,0.1255230125522429,0.1388695519339684
sim_1000kw_2m2_T01,0.4,0.7306536438765099,0.09576940957689643,0.2259933829981727
sim_1000kw_2m2_T01,0.5,0.713609898107455,0.08833100883305982,0.27484064937598846
sim_1000kw_2m2_T01,0.6,0.6953942777387664,0.07345420734538659,0.3251388370441476
sim_1000kw_2m2_T01,0.8,0.30984615384610614,0.06369130636910103,0.42803212685037384
sim_1000kw_2m2_T01,1.0,0.20135546606421753,0.04695490469546864,0.5325051436962907
sim_1000kw_2m2_T05,0.0,0.7150752225972627,0.2753578095829884,0.13725333789470082
sim_1000kw_2m2_T05,0.2,0.7789987789985412,0.20597386434343312,0.16466365218833373
sim_1000kw_2m2_T05,0.4,0.8314974694847183,0.13098942128185098,0.258300919294341
sim_1000kw_2m2_T05,0.5,0.8386158767081016,0.10267579340382617,0.3134813988558848
sim_1000kw_2m2_T05,0.6,0.8275290215586436,0.06845052893588412,0.37101782099262154
sim_1000kw_2m2_T05,0.8,0.3043271516880357,0.004355942750465353,0.4898149430610949
sim_1000kw_2m2_T05,1.0,0.29470016504673624,0.0,0.6111568788821679
sim_1500kw_1m2_T02,0.0,0.6874003189789922,0.20406278855022897,0.11355357407741012
sim_1500kw_1m2_T02,0.2,0.7146697388630128,0.14081255770999962,0.15221051903250904
sim_1500kw_1m2_T02,0.4,0.6811645036826793,0.10341643582636038,0.2508130294768187
sim_1500kw_1m2_T02,0.5,0.6647631844136161,0.08633425669432764,0.30631079564210517
sim_1500kw_1m2_T02,0.6,0.636564572150099,0.0692520775622949,0.363471897341044
sim_1500kw_1m2_T02,0.8,0.2337965536408856,0.02908587257616386,0.48039770984462216
sim_1500kw_1m2_T02,1.0,0.2038134755976878,0.0475530932594425,0.5990973182049185
sim_1500kw_1m2_T03,0.0,0.594685990337877,0.26375598086108626,0.13059922872437618
sim_1500kw_1m2_T03,0.2,0.6248203162431122,0.22009569377977267,0.15115667885917702
sim_1500kw_1m2_T03,0.4,0.6272051996283068,0.19198564593289952,0.22703966496072533
sim_1500kw_1m2_T03,0.5,0.645011600927775,0.16866028708123884,0.27292173359541866
sim_1500kw_1m2_T03,0.6,0.6314131413138473,0.1608851674640186,0.32117310967659096
sim_1500kw_1m2_T03,0.8,0.2396919621369742,0.106459330143477,0.4215018391232937
sim_1500kw_1m2_T03,1.0,0.20048244438485652,0.10526315789467389,0.5244825193544305
sim_1500kw_2m2_T05,0.0,0.7510791366904314,0.24413553431791366,0.16083050562139642
sim_1500kw_2m2_T05,0.2,0.8076261467887593,0.18418766290177116,0.169941588964508
sim_1500kw_2m2_T05,0.4,0.8268599562360976,0.12452939472918491,0.25624516323059465
sim_1500kw_2m2_T05,0.5,0.8367840817421789,0.09875470605267919,0.31099068437206995
sim_1500kw_2m2_T05,0.6,0.8252626184983793,0.0671879525050486,0.3690674419635572
sim_1500kw_2m2_T05,0.8,0.3166147075004294,0.0,0.4904362402283127
sim_1500kw_2m2_T05,1.0,0.3166147075004294,0.0,0.6153148576654721
sim_500kw_1m2_T01,0.0,0.3846153846150484,0.09465020576112212,0.108687626418882
sim_500kw_1m2_T01,0.2,0.4061930783238559,0.08230452674880184,0.12545420575579966
sim_500kw_1m2_T01,0.4,0.4281716417906454,0.05555555555544125,0.18099370957884012
sim_500kw_1m2_T01,0.5,0.445419103313406,0.05967078189288134,0.21489306982071896
sim_500kw_1m2_T01,0.6,0.46764091857988765,0.07818930041136175,0.25074468781431186
sim_500kw_1m2_T01,0.8,0.21183306920221245,0.17489711934120392,0.32570120755489
sim_500kw_1m2_T01,1.0,0.11748381128581022,0.21604938271560484,0.40296880785776445
sim_500kw_1m2_T02,0.0,0.43779904306185186,0.28886010362656883,0.11627183275624954
sim_500kw_1m2_T02,0.2,0.48032128514017647,0.2253886010359775,0.1469905680782237
sim_500kw_1m2_T02,0.4,0.4741641337382415,0.19170984455933718,0.22470252347389255
sim_500kw_1m2_T02,0.5,0.47207743857001333,0.17875647668370628,0.26969044377085044
sim_500kw_1m2_T02,0.6,0.4540311173971329,0.16839378238320157,0.3165029764988816
sim_500kw_1m2_T02,0.8,0.13707296499364463,0.15803108808269686,0.41310403649249494
sim_500kw_1m2_T02,1.0,0.09777711024330162,0.15673575129513376,0.5117945489160431
sim_500kw_1m2_T03,0.0,0.3455031166515178,0.3310344827580499,0.1509516373616514
sim_500kw_1m2_T03,0.2,0.3737089201874425,0.31379310344773487,0.15285755207775584
sim_500kw_1m2_T03,0.4,0.4380341880337201,0.2931034482753567,0.19085617330709465
sim_500kw_1m2_T03,0.5,0.45157657657606803,0.3086206896546403,0.21825903441199282
sim_500kw_1m2_T03,0.6,0.4466130884036204,0.32931034482701843,0.2489344140602556
sim_500kw_1m2_T03,0.8,0.18489835430775176,0.341379310344239,0.3162154567239292
sim_500kw_1m2_T03,1.0,0.09023278137746814,0.35172413793042806,0.38794032908399995
sim_500kw_1m2_T04,0.0,0.48097412480937524,0.19181585677724833,0.10467114282383401
sim_500kw_1m2_T04,0.2,0.48281130634034924,0.19181585677724833,0.13137698824124602
sim_500kw_1m2_T04,0.4,0.4571005917156382,0.20971867007645817,0.19793035530920505
sim_500kw_1m2_T04,0.5,0.45474613686500753,0.20971867007645817,0.2366208406562319
sim_500kw_1m2_T04,0.6,0.45111111111077695,0.22122762148309305,0.27695773867888496
sim_500kw_1m2_T04,0.8,0.19950477538019118,0.27877237851626757,0.3603434381522884
sim_500kw_1m2_T04,1.0,0.11561330103498885,0.3286445012783521,0.4456476663857575
sim_500kw_2m2_T02,0.0,0.6062470421199213,0.25825130283714054,0.1082012443386294
sim_500kw_2m2_T02,0.2,0.6378525932663158,0.1881876085696652,0.1484103588452709
sim_500kw_2m2_T02,0.4,0.6224361657594716,0.13896931094375278,0.24401147054371483
sim_500kw_2m2_T02,0.5,0.6081941129671408,0.11464968152859603,0.29748742000858464
sim_500kw_2m2_T02,0.6,0.5801413164743101,0.09669947886502797,0.35249879955164
sim_500kw_2m2_T02,0.8,0.20778381174034033,0.06948465547187639,0.4649376702571009
sim_500kw_2m2_T02,1.0,0.1690171403775039,0.0978575564562259,0.579030656932164
sim_500kw_2m2_T05,0.0,0.6760683760680871,0.2699584679278865,0.10452168922751982
sim_500kw_2m2_T05,0.2,0.7249895353701444,0.20073834794637713,0.1379528414207463
sim_500kw_2m2_T05,0.4,0.750198886236774,0.1296723580986942,0.22556875506854066
sim_500kw_2m2_T05,0.5,0.7526213592230087,0.10567604983843762,0.2751552774750552
sim_500kw_2m2_T05,0.6,0.7413472273908667,0.08075680664509426,0.3263060196079347
sim_500kw_2m2_T05,0.8,0.30257385200346554,0.04522381172125278,0.4310615248914964
sim_500kw_2m2_T05,1.0,0.22448979591834334,0.03045685279186412,0.5374909541000831
