# epoch,train_mse,val_mse,val_iou
1.000000,0.062601,0.019990,0.652090
2.000000,0.016134,-1.000000,-1.000000
3.000000,0.010916,-1.000000,-1.000000
4.000000,0.008915,-1.000000,-1.000000
5.000000,0.008243,0.014785,0.762946
6.000000,0.007751,-1.000000,-1.000000
7.000000,0.007258,-1.000000,-1.000000
8.000000,0.006756,-1.000000,-1.000000
9.000000,0.006454,-1.000000,-1.000000
10.000000,0.006029,0.013665,0.680927
11.000000,0.005962,-1.000000,-1.000000
12.000000,0.005721,-1.000000,-1.000000
13.000000,0.005592,-1.000000,-1.000000
14.000000,0.005577,-1.000000,-1.000000
15.000000,0.005394,0.012648,0.689693
16.000000,0.005266,-1.000000,-1.000000
17.000000,0.005198,-1.000000,-1.000000
18.000000,0.005172,-1.000000,-1.000000
19.000000,0.005071,-1.000000,-1.000000
20.000000,0.004973,0.011057,0.760881
21.000000,0.004936,-1.000000,-1.000000
22.000000,0.004837,-1.000000,-1.000000
23.000000,0.004790,-1.000000,-1.000000
24.000000,0.004852,-1.000000,-1.000000
25.000000,0.004711,0.011732,0.696552
26.000000,0.004673,-1.000000,-1.000000
27.000000,0.004625,-1.000000,-1.000000
28.000000,0.004683,-1.000000,-1.000000
29.000000,0.004546,-1.000000,-1.000000
30.000000,0.004516,0.011411,0.703142
31.000000,0.004515,-1.000000,-1.000000
32.000000,0.004549,-1.000000,-1.000000
33.000000,0.004514,-1.000000,-1.000000
34.000000,0.004449,-1.000000,-1.000000
35.000000,0.004492,0.011131,0.739297
36.000000,0.004421,-1.000000,-1.000000
37.000000,0.004410,-1.000000,-1.000000
38.000000,0.004373,-1.000000,-1.000000
39.000000,0.004351,-1.000000,-1.000000
40.000000,0.004347,0.011143,0.717397
41.000000,0.004332,-1.000000,-1.000000
42.000000,0.004325,-1.000000,-1.000000
43.000000,0.004302,-1.000000,-1.000000
44.000000,0.004327,-1.000000,-1.000000
45.000000,0.004303,0.011487,0.681668
46.000000,0.004281,-1.000000,-1.000000
47.000000,0.004300,-1.000000,-1.000000
48.000000,0.004288,-1.000000,-1.000000
49.000000,0.004318,-1.000000,-1.000000
50.000000,0.004274,0.011327,0.693433
