model,rel_l2_mean,rmse_C,rmse_m,rmse_ppm,autoreg_rel_l2_6,risk_iou_all,risk_fnr_all,risk_fpr_all,infer_ms_mean
ConvLSTM,0.13605255703386426,5.684480661917956,1.3401374994180142,4.256812308537655,0.881930789872578,0.8867655540958677,0.059966396116015515,,26.521785128217093
FNO no-PI,0.13777940946318468,6.979555337245649,1.388382563224206,4.611070856069907,0.7701091111968079,0.8281433940849696,0.0715649993670976,,27.120208205194963
FNO PI,0.1571841145249728,6.857991697238041,1.6658479548417604,7.380109659830728,0.8177180814656835,0.8359758444866645,0.06891228664444789,,30.33534974362201
