name,loc,hrr_kw,area_m2,t0,iou_step1,iou_step6,iou_all,rmse_step6,fnr_step6
sim_1000kw_1m2_T01,T01,1000,1,120.0,0.6119850187261333,0.13148675279175262,0.15641968394652522,0.7119592797631904,0.0
sim_1000kw_1m2_T03,T03,1000,1,120.0,0.5669472073446312,0.12973505583532627,0.15782661782661397,0.7246609068962334,0.0
sim_1000kw_2m2_T01,T01,1000,2,120.0,0.7556285178232853,0.2355195445088979,0.27868384765345733,0.6842671541719824,0.0
sim_1000kw_2m2_T05,T05,1000,2,120.0,0.7512776831343266,0.3519106536734532,0.41507984543041077,0.6612611896305269,0.0
sim_1500kw_1m2_T02,T02,1500,1,120.0,0.7324521422056826,0.23716194021677026,0.29046769011066786,0.687648428577717,0.0
sim_1500kw_1m2_T03,T03,1500,1,120.0,0.6492178098672388,0.18305233194655318,0.22172547124214062,0.7011049533106056,0.0
sim_1500kw_2m2_T05,T05,1500,2,120.0,0.7449882075469502,0.3780794919522196,0.45270875950995354,0.6318219221701591,0.0
sim_500kw_1m2_T01,T01,500,1,120.0,0.48623853210953416,0.05320779505145027,0.07127306912077405,0.7505044851080075,0.0
sim_500kw_1m2_T02,T02,500,1,120.0,0.5339912280695899,0.08451937814757121,0.10277990939921028,0.7445053761509289,0.0
sim_500kw_1m2_T03,T03,500,1,120.0,0.4094881398247073,0.06350596737106498,0.07645685329623736,0.7660362370406795,0.0
sim_500kw_1m2_T04,T04,500,1,120.0,0.5131440588848443,0.08562356290374623,0.1002665218893416,0.7455621493252658,0.0
sim_500kw_2m2_T02,T02,500,2,120.0,0.6692399049877261,0.18909449249970556,0.22621809744779037,0.7033925578320521,0.0
sim_500kw_2m2_T05,T05,500,2,120.0,0.7293646823408058,0.23727143326396175,0.2828589168019801,0.6879833578518579,0.0
