fold,n_train,n_val,train_iou,fold_val_iou,ood_iou,train_fnr,fold_val_fnr,ood_fnr,ood_h5,gap_train_val,gap_train_ood,elapsed_s
0,26,7,0.690757959066176,0.7245206592015296,0.7168657346343978,0.07978059375540968,0.045742227039475766,0.1105686277602429,8,-0.03376270013535365,-0.026107775568221858,270.8357467651367
1,26,7,0.669645737423764,0.7514637358727493,0.710313275008025,0.06272175010178804,0.058006529995310294,0.09734571464717436,8,-0.0818179984489853,-0.040667537584261004,272.81361842155457
2,26,7,0.7356568731638696,0.6400321375361998,0.7203508580475558,0.05864269813852575,0.06857371248575414,0.10640186998791555,9,0.09562473562766982,0.015306015116313798,275.4903118610382
3,27,6,0.7292671331501083,0.7121128141147355,0.7121827281871851,0.07635827790955706,0.07466279648920494,0.12841746564749806,9,0.01715431903537279,0.017084404962923183,294.3628444671631
4,27,6,0.749774257530896,0.7155012728137318,0.7317560954724875,0.08683615195449867,0.13078317121444963,0.1436591139047358,9,0.03427298471716422,0.01801816205840845,359.83394169807434
