scenario,iou_step6,fnr_step6,rmse_step6
sim_1000kw_1m2_T01,0.767647058822965,0.1307243963362775,0.14859479665756226
sim_1000kw_1m2_T03,0.7230359520634334,0.08354430379739786,0.13824787735939026
sim_1000kw_2m2_T01,0.7409233527562793,0.23152022315191467,0.15742625296115875
sim_1000kw_2m2_T05,0.7829049241248737,0.2134411947728023,0.15599845349788666
sim_1500kw_1m2_T02,0.8429276315786007,0.05355493998150805,0.14455440640449524
sim_1500kw_1m2_T03,0.7907348242807292,0.111842105263091,0.1427498459815979
sim_1500kw_2m2_T05,0.8130948947214268,0.18360845641465867,0.16604191064834595
sim_500kw_1m2_T01,0.6144578313244786,0.05555555555544125,0.12526242434978485
sim_500kw_1m2_T02,0.6005221932109656,0.1062176165801733,0.12984699010849
sim_500kw_1m2_T03,0.6224489795909294,0.26379310344782103,0.11100801080465317
sim_500kw_1m2_T04,0.6425661914453742,0.1930946291557633,0.11381977051496506
sim_500kw_2m2_T02,0.7740058195922531,0.07585408222346506,0.1416199803352356
sim_500kw_2m2_T05,0.7415026833628169,0.23488694047058842,0.1536477655172348
