1,0.03477080
2,0.01338432
3,0.01201348
4,0.01155725
5,0.01096008
6,0.01051535
7,0.00983298
8,0.00929350
9,0.00900410
10,0.00841181
11,0.00791632
12,0.00761917
13,0.00775917
14,0.00736609
15,0.00731122
16,0.00713852
17,0.00701406
18,0.00693166
19,0.00692372
20,0.00686977
21,0.00669723
22,0.00673892
23,0.00663927
24,0.00673922
25,0.00660535
26,0.00655179
27,0.00647596
28,0.00641767
29,0.00632922
30,0.00636639
31,0.00633941
32,0.00674171
33,0.00625754
34,0.00621476
35,0.00629478
36,0.00628555
37,0.00611016
38,0.00622296
39,0.00609038
40,0.00617494
41,0.00597905
42,0.00600143
43,0.00600026
44,0.00598163
45,0.00592516
46,0.00587200
47,0.00587890
48,0.00580719
49,0.00585944
50,0.00583875
51,0.00572462
52,0.00577906
53,0.00567353
54,0.00574518
55,0.00575004
56,0.00570205
57,0.00566998
58,0.00560983
59,0.00556168
60,0.00557310
61,0.00562847
62,0.00551325
63,0.00557796
64,0.00552408
65,0.00555048
66,0.00549676
67,0.00545027
68,0.00548759
69,0.00548631
70,0.00544568
71,0.00539549
72,0.00538178
73,0.00536596
74,0.00535361
75,0.00535221
76,0.00530205
77,0.00530970
78,0.00525833
79,0.00526926
80,0.00524925
81,0.00523921
82,0.00521472
83,0.00523161
84,0.00522313
85,0.00520626
86,0.00519419
87,0.00518511
88,0.00516659
89,0.00515084
90,0.00514752
91,0.00514335
92,0.00513447
93,0.00512021
94,0.00512922
95,0.00512736
96,0.00511290
97,0.00511363
98,0.00510721
99,0.00511020
100,0.00510332
