w_t1,w_conv,w_fno,mean_iou,mean_fnr,h5_pass
0.0,0.0,1.0,0.524839535709822,0.10438896564750998,4
0.0,0.25,0.75,0.5446553951352964,0.1047131720240661,5
0.0,0.5,0.5,0.5668388125542264,0.12614601129479242,5
0.0,0.75,0.25,0.5947092985877018,0.15290530943932462,5
0.0,1.0,0.0,0.5811705188622278,0.2296461085634912,3
0.2,0.0,0.8,0.5375633696319138,0.08386853966512048,5
0.2,0.2,0.6,0.5600745396114878,0.0800381500596191,5
0.2,0.4,0.4,0.5820238455806358,0.10236488901671896,5
0.2,0.6,0.2,0.6159771166346993,0.12108979345134757,5
0.2,0.8,0.0,0.6147153568467025,0.17988111718273855,5
0.3,0.0,0.7,0.5460777900570949,0.07099954641223455,5
0.3,0.175,0.525,0.5686923480165658,0.06653906655448674,5
0.3,0.35,0.35,0.5974200216595871,0.08297063654090645,5
0.3,0.525,0.175,0.6215113926583489,0.10968851808879923,5
0.3,0.7,0.0,0.6189531244444633,0.15874240585063668,5
0.4,0.0,0.6,0.5538683601247537,0.058429062102552685,5
0.4,0.15,0.45,0.5792756479872858,0.05463226673492663,5
0.4,0.3,0.3,0.6132092690836969,0.06159776497073459,5
0.4,0.45,0.15,0.6213471950678255,0.09958163543179838,4
0.4,0.6,0.0,0.6233302146252916,0.1389806164187866,4
0.5,0.0,0.5,0.5626236541811136,0.04726492133365361,5
0.5,0.125,0.375,0.5900714233695539,0.04162058079661347,5
0.5,0.25,0.25,0.6162887506150316,0.04983076731128067,5
0.5,0.375,0.125,0.618935645073297,0.09044963725760986,4
0.5,0.5,0.0,0.6208001729240689,0.12263945380272985,4
0.6,0.0,0.4,0.5669008478877452,0.039938460422598264,4
0.6,0.1,0.3,0.5875561122351398,0.036140489938353546,4
0.6,0.2,0.2,0.6033536658371582,0.045893518331872135,4
0.6,0.3,0.1,0.6121556157455369,0.07025805014034908,4
0.6,0.4,0.0,0.6087566182496231,0.10841240540654459,3
