name,loc,hrr_kw,area_m2,t0,cubic__ConvLSTM_fnr_step6,cubic__ConvLSTM_iou_all,cubic__ConvLSTM_iou_step6,cubic__ConvLSTM_rmse_step6,cubic__FNO PI_fnr_step6,cubic__FNO PI_iou_all,cubic__FNO PI_iou_step6,cubic__FNO PI_rmse_step6,cubic__FNO no-PI_fnr_step6,cubic__FNO no-PI_iou_all,cubic__FNO no-PI_iou_step6,cubic__FNO no-PI_rmse_step6,interp_cubic_rmse_CO,interp_cubic_rmse_T,interp_cubic_rmse_V,interp_linear_rmse_CO,interp_linear_rmse_T,interp_linear_rmse_V,interp_nearest_rmse_CO,interp_nearest_rmse_T,interp_nearest_rmse_V,linear__ConvLSTM_fnr_step6,linear__ConvLSTM_iou_all,linear__ConvLSTM_iou_step6,linear__ConvLSTM_rmse_step6,linear__FNO PI_fnr_step6,linear__FNO PI_iou_all,linear__FNO PI_iou_step6,linear__FNO PI_rmse_step6,linear__FNO no-PI_fnr_step6,linear__FNO no-PI_iou_all,linear__FNO no-PI_iou_step6,linear__FNO no-PI_rmse_step6,nearest__ConvLSTM_fnr_step6,nearest__ConvLSTM_iou_all,nearest__ConvLSTM_iou_step6,nearest__ConvLSTM_rmse_step6,nearest__FNO PI_fnr_step6,nearest__FNO PI_iou_all,nearest__FNO PI_iou_step6,nearest__FNO PI_rmse_step6,nearest__FNO no-PI_fnr_step6,nearest__FNO no-PI_iou_all,nearest__FNO no-PI_iou_step6,nearest__FNO no-PI_rmse_step6
sim_1000kw_1m2_T01,T01,1000,1,120.0,0.8118234804322966,0.09509476031214101,0.11002921129498051,0.2679467711782338,0.8692756036628899,0.1080191912268529,0.11569638909350353,0.251146513818123,0.8992506244788516,0.10472279260778751,0.09758064516121163,0.23809353107652093,34.059776306152344,28.34787368774414,12.003426551818848,34.687015533447266,28.730772018432617,11.59786319732666,34.165931701660156,26.687135696411133,13.393861770629883,0.8101582014980765,0.10546441346982786,0.11943425877416478,0.2604908597156365,0.8875936719393109,0.09550059594754239,0.10808646917525373,0.24186135545495444,0.9225645295579329,0.08567543064368605,0.07660626029647725,0.23756958256723656,0.6219816819312057,0.25634835479253787,0.24239188467685938,0.23705489035230984,0.5278934221477702,0.2714090754008639,0.28083209509644336,0.253107979281797,0.5253955037464402,0.289539917446865,0.32386363636345233,0.21942925307907712
sim_1000kw_1m2_T03,T03,1000,1,120.0,0.49789029535822965,0.26077023498691676,0.27921163772863483,0.27108556679645934,0.6236286919825961,0.2580893682588266,0.3075862068963396,0.19369811226734507,0.5223628691978714,0.29535755851541506,0.3914246196401166,0.1731369934551919,40.79865646362305,42.89181900024414,11.339936256408691,41.98406982421875,44.364933013916016,11.059257507324219,63.27144241333008,73.13619995117188,13.136445045471191,0.5265822784805683,0.24594680512872247,0.259722222222102,0.25693904121267547,0.594092827003718,0.2700786386489274,0.3267663043476041,0.1921604089588707,0.5443037974678951,0.2820447609358746,0.3633916554506303,0.17375409702285735,0.4599156118139579,0.33518058475058904,0.35814213766068376,0.21926387380862752,0.3215189873415008,0.3313555454130282,0.32669646485155357,0.270528945581251,0.3164556962022646,0.35452486790234383,0.36552346570380617,0.24103092246287397
sim_1000kw_2m2_T01,T01,1000,2,120.0,0.6801487680145606,0.1274627377077193,0.1863993497696596,0.3211377835812394,0.7945141794510486,0.1264584117425573,0.18673426277981126,0.2760435169411339,0.8154346815430891,0.11677449897426884,0.1767586821014351,0.26883504504343586,44.10782241821289,41.5817756652832,12.737908363342285,44.757469177246094,42.752655029296875,12.368464469909668,47.46292495727539,44.98102569580078,14.691394805908203,0.6875871687583972,0.12751086573475112,0.18476766565845895,0.3165042256388234,0.7973035797299873,0.12378483473751427,0.19542805916620554,0.2699906394373465,0.839609483960558,0.10165329841217043,0.15688949522503098,0.26894802098971343,0.5299860529983589,0.2611081692581591,0.27003205128197916,0.3123636243307242,0.44397954439774806,0.3343651626442637,0.3682266009851083,0.3043604408607059,0.45606694560648253,0.3567570923086252,0.42116630669531274,0.26471734145249076
sim_1000kw_2m2_T05,T05,1000,2,120.0,0.5457373988797306,0.2544493164818049,0.3210908291180292,0.3366045136224946,0.7467330429369177,0.1794371838111204,0.24393167515725384,0.29666192822043264,0.7576228998130811,0.17725163973763253,0.23917715689277275,0.2878387782895009,32.96333312988281,34.49334716796875,12.409658432006836,33.230323791503906,35.13963317871094,12.07852840423584,38.940406799316406,47.639015197753906,14.310516357421875,0.5597386434347978,0.24527805775887437,0.3148642634623242,0.3345900775479577,0.7654013690103406,0.1547966272471679,0.22820823244545152,0.2988137145178976,0.7837585563158731,0.151184555323806,0.21391197291467715,0.29203433110781274,0.2958929682637536,0.4512855910267316,0.4666941637450058,0.33138418821700316,0.41163658991897584,0.39781008795546946,0.4158786012754748,0.3413763479781064,0.4794648413190792,0.39779258642230747,0.4103507480989918,0.30620593323150785
sim_1500kw_1m2_T02,T02,1500,1,120.0,0.5951061865186541,0.14634867448506225,0.21132530120476833,0.33948300780577306,0.8130193905813421,0.11349805704229683,0.17095821021520854,0.2776662230074585,0.7756232686977028,0.12120515179391894,0.2146643109539688,0.26211412330015127,36.54085922241211,54.88189697265625,12.582666397094727,32.208770751953125,44.941871643066406,12.20666217803955,34.99906921386719,50.45506286621094,14.564780235290527,0.583564173591605,0.15346561273322828,0.23241432620452657,0.31249210276089867,0.8213296398888175,0.10019402405897554,0.17199999999992355,0.2727133942948432,0.8176361957521617,0.09833502696786536,0.17697132616479527,0.25901234799798983,0.5258541089563593,0.2836913361718278,0.2888076490437883,0.29976819029602625,0.5406278855029821,0.2969773167792814,0.29595478881609283,0.31527125727335437,0.4709141274236053,0.35197546454986156,0.39166097060820515,0.280209166960556
sim_1500kw_1m2_T03,T03,1500,1,120.0,0.47846889952124494,0.2514430014429833,0.27832748164689486,0.300189307906308,0.6680622009565382,0.23041561122054316,0.2788944723616689,0.2243646989360745,0.586124401913525,0.27549745265786063,0.36022904737097333,0.2017842442087681,40.05240249633789,44.97950744628906,12.065945625305176,40.93980026245117,46.02446746826172,11.768352508544922,60.58898162841797,77.08953857421875,14.112252235412598,0.4982057416264963,0.2526259704673274,0.2928446771377686,0.2824066561634388,0.6507177033488931,0.24765729585004323,0.2987212276213306,0.22267892544659162,0.5956937799039499,0.2683068017365877,0.3552285864422726,0.19944693318039308,0.4389952153107422,0.3770575012689162,0.3951137320975589,0.24846477684045165,0.37081339712896483,0.33742990096645165,0.3404530744335468,0.2912185860116334,0.36483253588494924,0.36934757777327354,0.39494235775366493,0.25663512460090127
sim_1500kw_2m2_T05,T05,1500,2,120.0,0.528236316246589,0.304479515383377,0.35968204901736367,0.3326309362019273,0.658847379090455,0.231032726936063,0.3136315228966151,0.3000111221487841,0.6744859542424921,0.22502237505298295,0.3140542050851316,0.28675686399324646,47.91270065307617,47.38438034057617,12.377869606018066,48.20392990112305,48.26956558227539,12.035390853881836,58.00997543334961,71.19355773925781,13.957463264465332,0.5531421951924259,0.2864895060250464,0.337415263503097,0.335911551528341,0.6959165942656542,0.19875046974820562,0.28649386084576084,0.3010597558646481,0.7095279467127977,0.1999999999999904,0.2848622550411006,0.28790340972851575,0.24674196350991986,0.49616173648334005,0.5363992575787716,0.3149834704395942,0.36808572255998606,0.41535155247625044,0.43806464565339526,0.33965119588038617,0.4703156675353402,0.3946195061635732,0.4083500781423513,0.30910078924815726
sim_500kw_1m2_T01,T01,500,1,120.0,0.8703703703685794,0.09677419354836289,0.076923076922983,0.20504425331741472,0.9053497942368203,0.10302066772651733,0.08795411089849339,0.1968159043674797,0.8971193415619401,0.11280584683822281,0.09469696969679035,0.19232695789082765,26.807083129882812,24.86731719970703,10.534422874450684,27.439590454101562,25.127107620239258,10.245570182800293,26.829675674438477,23.004039764404297,11.266698837280273,0.8559670781875391,0.11117302869877092,0.09817671809242892,0.20181049168643325,0.9218106995865807,0.08314238952534103,0.07364341085257047,0.19434365731531367,0.9218106995865807,0.08849557522120993,0.07495069033515789,0.19206102113496182,0.5617283950605726,0.24151372421629988,0.2366666666664037,0.19040735466095426,0.42798353909376957,0.26640190627477894,0.28223350253778456,0.1942954383429741,0.4218106995876095,0.29768840443520056,0.3185941043080288,0.17828825504933823
sim_500kw_1m2_T02,T02,500,1,120.0,0.9857512953355106,0.005616575137293358,0.007055805003202659,0.24451052796672185,0.9909326424857631,0.007307113690090843,0.008187134502914402,0.21865266364375105,0.9883419689106369,0.006580440208757299,0.011292346298605656,0.2060093705333723,13.84785270690918,21.22588348388672,10.824131965637207,12.094923973083496,17.86231231689453,10.375622749328613,13.051239967346191,19.587005615234375,12.095171928405762,0.9870466321230738,0.0034682080924849762,0.007949125596178101,0.20855121155186315,0.9999999999987047,0.0006962172197724074,0.0,0.21016093770183594,0.9961139896360154,0.0016203703703699952,0.003861003860998892,0.20740577935533672,0.975388601035006,0.010537225773015971,0.016337059329306677,0.22708136715582738,0.9779792746101321,0.013730419648034474,0.01718907987864794,0.2178180805011828,0.9326424870454241,0.03220829315332069,0.04626334519568838,0.20555616084870404
sim_500kw_1m2_T03,T03,500,1,120.0,0.506896551723264,0.2780395852968242,0.3235294117643399,0.18789847551802194,0.6172413793092806,0.2621383647798083,0.3074792243763054,0.15602873420238103,0.5931034482748395,0.24853726787070757,0.32328767123243385,0.14337387563345147,24.044023513793945,31.63144874572754,9.244215965270996,24.774124145507812,32.987281799316406,9.201584815979004,37.931636810302734,57.91792297363281,11.015301704406738,0.5155172413784216,0.2713787085514242,0.298618490966739,0.19039198366497223,0.5793103448265874,0.2513343037359895,0.31895424836559616,0.15840744298238935,0.5499999999990517,0.2617901828680794,0.3254364089771503,0.15137815418721098,0.44999999999922413,0.294707227008916,0.3155291790303506,0.18434199584409824,0.253448275861632,0.25723256335498346,0.26258338386885227,0.2276108438790501,0.24137931034441143,0.29114551083587725,0.3030303030300943,0.20265054666274865
