# epoch,train_loss,s029_iou,val_iou
1.000000,0.103994,0.928571,0.876261
2.000000,0.102490,0.928571,0.863301
3.000000,0.101929,-1.000000,-1.000000
4.000000,0.103348,0.928571,0.873106
5.000000,0.099448,-1.000000,-1.000000
6.000000,0.100322,0.928571,0.869677
7.000000,0.100098,-1.000000,-1.000000
8.000000,0.100290,0.928571,0.870480
9.000000,0.100879,-1.000000,-1.000000
10.000000,0.104231,1.000000,0.870100
11.000000,0.099241,-1.000000,-1.000000
12.000000,0.099838,0.928571,0.867957
13.000000,0.098185,-1.000000,-1.000000
14.000000,0.101309,1.000000,0.873499
15.000000,0.098423,-1.000000,-1.000000
16.000000,0.097498,0.928571,0.872008
17.000000,0.097163,-1.000000,-1.000000
18.000000,0.097872,0.928571,0.871404
19.000000,0.100673,-1.000000,-1.000000
20.000000,0.098336,1.000000,0.865591
21.000000,0.101142,-1.000000,-1.000000
22.000000,0.098494,1.000000,0.873100
23.000000,0.098326,-1.000000,-1.000000
24.000000,0.096832,1.000000,0.871327
25.000000,0.098918,-1.000000,-1.000000
26.000000,0.100501,0.928571,0.871493
27.000000,0.097543,-1.000000,-1.000000
28.000000,0.094383,1.000000,0.870335
29.000000,0.098227,-1.000000,-1.000000
30.000000,0.101915,1.000000,0.868745
31.000000,0.096462,-1.000000,-1.000000
32.000000,0.095472,1.000000,0.867606
33.000000,0.095908,-1.000000,-1.000000
34.000000,0.095165,1.000000,0.870176
35.000000,0.099255,-1.000000,-1.000000
36.000000,0.097042,1.000000,0.867254
37.000000,0.097932,-1.000000,-1.000000
38.000000,0.093621,1.000000,0.869453
39.000000,0.096427,-1.000000,-1.000000
40.000000,0.097870,1.000000,0.869275
41.000000,0.099297,-1.000000,-1.000000
42.000000,0.097781,1.000000,0.871103
43.000000,0.097687,-1.000000,-1.000000
44.000000,0.092745,1.000000,0.869104
45.000000,0.094793,-1.000000,-1.000000
46.000000,0.097114,1.000000,0.866073
47.000000,0.096788,-1.000000,-1.000000
48.000000,0.097355,1.000000,0.869230
49.000000,0.094910,-1.000000,-1.000000
50.000000,0.096658,1.000000,0.866645
51.000000,0.098564,-1.000000,-1.000000
52.000000,0.094583,1.000000,0.867323
53.000000,0.093612,-1.000000,-1.000000
54.000000,0.096013,1.000000,0.868331
55.000000,0.095104,-1.000000,-1.000000
56.000000,0.097966,1.000000,0.868940
57.000000,0.094216,-1.000000,-1.000000
58.000000,0.098609,1.000000,0.869155
59.000000,0.097797,-1.000000,-1.000000
60.000000,0.092000,1.000000,0.868954
