w_t1,w_conv,w_fno,mean_iou,mean_fnr,h5_pass
0.0,0.0,1.0,0.524839535709822,0.10438896564750998,4
0.0,0.25,0.75,0.5446553951352964,0.1047131720240661,5
0.0,0.5,0.5,0.5668388125542264,0.12614601129479242,5
0.0,0.75,0.25,0.5947092985877018,0.15290530943932462,5
0.0,1.0,0.0,0.5811705188622278,0.2296461085634912,3
0.2,0.0,0.8,0.537874111998647,0.08396396681980045,5
0.2,0.2,0.6,0.5604238742745398,0.08019107765251797,5
0.2,0.4,0.4,0.5827974153368978,0.10253426750611437,5
0.2,0.6,0.2,0.6161036134609953,0.12175743741568451,5
0.2,0.8,0.0,0.614874689890737,0.18029429453618404,5
0.3,0.0,0.7,0.5464902673029918,0.07136098546269241,5
0.3,0.175,0.525,0.5691440807216878,0.06671228663617224,5
0.3,0.35,0.35,0.5979029703215197,0.08336612271567768,5
0.3,0.525,0.175,0.6220701380530004,0.1104162265025198,5
0.3,0.7,0.0,0.6197434646886815,0.15903547450538041,5
0.4,0.0,0.6,0.5546425357880791,0.05869189725880635,5
0.4,0.15,0.45,0.5801961164969571,0.05515942553135048,5
0.4,0.3,0.3,0.6141287069861863,0.06261711481255638,5
0.4,0.45,0.15,0.6229287245154022,0.0997863478982301,4
0.4,0.6,0.0,0.6235962000937042,0.14072974403534916,4
0.5,0.0,0.5,0.563935520698466,0.04753322251540806,5
0.5,0.125,0.375,0.5918291469550069,0.042892393380741675,5
0.5,0.25,0.25,0.6183140654461285,0.05064901783412369,5
0.5,0.375,0.125,0.6198627408532554,0.0919515418684597,4
0.5,0.5,0.0,0.6226373763407006,0.12329462543620998,4
0.6,0.0,0.4,0.5692028552446655,0.041575257728143425,4
0.6,0.1,0.3,0.5898889786412408,0.036825271444293,4
0.6,0.2,0.2,0.6056805863025463,0.047229112234811084,4
0.6,0.3,0.1,0.6138837196533774,0.0720142543643781,4
0.6,0.4,0.0,0.6104667004796615,0.11059086467453103,3
