# epoch,train_loss,val_iou,val_fnr
1.000000,0.408535,0.812839,0.020052
2.000000,0.248243,-1.000000,-1.000000
3.000000,0.225288,-1.000000,-1.000000
4.000000,0.212861,-1.000000,-1.000000
5.000000,0.207969,0.868654,0.038189
6.000000,0.205871,-1.000000,-1.000000
7.000000,0.205177,-1.000000,-1.000000
8.000000,0.198041,-1.000000,-1.000000
9.000000,0.197310,-1.000000,-1.000000
10.000000,0.200324,0.863262,0.091810
11.000000,0.180129,-1.000000,-1.000000
12.000000,0.180475,-1.000000,-1.000000
13.000000,0.177245,-1.000000,-1.000000
14.000000,0.175273,-1.000000,-1.000000
15.000000,0.170453,0.850572,0.054185
16.000000,0.169871,-1.000000,-1.000000
17.000000,0.167576,-1.000000,-1.000000
18.000000,0.162539,-1.000000,-1.000000
19.000000,0.156392,-1.000000,-1.000000
20.000000,0.158428,0.863015,0.096542
21.000000,0.155498,-1.000000,-1.000000
22.000000,0.156148,-1.000000,-1.000000
23.000000,0.150082,-1.000000,-1.000000
24.000000,0.144399,-1.000000,-1.000000
25.000000,0.142590,0.870669,0.068717
26.000000,0.140434,-1.000000,-1.000000
27.000000,0.136214,-1.000000,-1.000000
28.000000,0.127421,-1.000000,-1.000000
29.000000,0.128833,-1.000000,-1.000000
30.000000,0.122511,0.853713,0.098682
31.000000,0.126769,-1.000000,-1.000000
32.000000,0.123110,-1.000000,-1.000000
33.000000,0.123044,-1.000000,-1.000000
34.000000,0.117618,-1.000000,-1.000000
35.000000,0.118628,0.866214,0.094852
36.000000,0.122133,-1.000000,-1.000000
37.000000,0.115702,-1.000000,-1.000000
38.000000,0.109412,-1.000000,-1.000000
39.000000,0.108750,-1.000000,-1.000000
40.000000,0.105344,0.856767,0.082911
41.000000,0.104478,-1.000000,-1.000000
42.000000,0.108494,-1.000000,-1.000000
43.000000,0.104214,-1.000000,-1.000000
44.000000,0.096617,-1.000000,-1.000000
45.000000,0.102820,0.852355,0.109046
46.000000,0.102754,-1.000000,-1.000000
47.000000,0.100305,-1.000000,-1.000000
48.000000,0.096511,-1.000000,-1.000000
49.000000,0.095792,-1.000000,-1.000000
50.000000,0.095286,0.870727,0.067478
51.000000,0.097369,-1.000000,-1.000000
52.000000,0.092418,-1.000000,-1.000000
53.000000,0.088969,-1.000000,-1.000000
54.000000,0.094340,-1.000000,-1.000000
55.000000,0.093547,0.876026,0.074237
56.000000,0.093427,-1.000000,-1.000000
57.000000,0.091001,-1.000000,-1.000000
58.000000,0.089582,-1.000000,-1.000000
59.000000,0.087973,-1.000000,-1.000000
60.000000,0.089064,0.872470,0.077504
61.000000,0.090914,-1.000000,-1.000000
62.000000,0.092154,-1.000000,-1.000000
63.000000,0.088690,-1.000000,-1.000000
64.000000,0.083895,-1.000000,-1.000000
65.000000,0.084364,0.874906,0.080545
66.000000,0.084778,-1.000000,-1.000000
67.000000,0.083733,-1.000000,-1.000000
68.000000,0.085275,-1.000000,-1.000000
69.000000,0.087262,-1.000000,-1.000000
70.000000,0.083707,0.864394,0.088769
71.000000,0.080496,-1.000000,-1.000000
72.000000,0.083561,-1.000000,-1.000000
73.000000,0.085708,-1.000000,-1.000000
74.000000,0.083241,-1.000000,-1.000000
75.000000,0.084903,0.875629,0.079193
76.000000,0.087235,-1.000000,-1.000000
77.000000,0.082708,-1.000000,-1.000000
78.000000,0.081261,-1.000000,-1.000000
79.000000,0.088204,-1.000000,-1.000000
80.000000,0.077550,0.875937,0.078180
