scenario_id,fire_scenario_id,seed,n_persons,evacuation_success_rate,mean_evacuation_time_s,danger_zone_exposure_time_s,casualty_rate,cumulative_fed,max_cumulative_fed,p90_cumulative_fed
S3_fno_swarm,sim_1000kw_1m2_T03,1,20,1.0,17.65,0.3,0.0,0.00012232232848107574,0.0009255442322015762,0.00011986134936989683
S1_fixed_sign,sim_1000kw_1m2_T03,2,20,1.0,12.65,0.4,0.0,0.00011573878523084597,0.001079707597135365,0.00013854637252606387
S2_fds_swarm,sim_1000kw_1m2_T03,2,20,1.0,14.8,0.4,0.0,0.00012442138036528264,0.0010990824195660999,0.0001502828731983363
S3_fno_swarm,sim_1000kw_1m2_T03,2,20,1.0,14.15,0.4,0.0,0.00012245121153181066,0.0010990824195660999,0.0001502828731983363
S1_fixed_sign,sim_1000kw_1m2_T03,3,20,1.0,10.7,0.0,0.0,6.218580193197586e-05,0.0001591559997556693,0.00011243546741915822
S2_fds_swarm,sim_1000kw_1m2_T03,3,20,1.0,14.05,0.0,0.0,8.164379260867392e-05,0.000172592317747113,0.00016623631942003664
S3_fno_swarm,sim_1000kw_1m2_T03,3,20,1.0,14.7,0.0,0.0,8.619267711961329e-05,0.00017430525552649282,0.00017235861334589432
S1_fixed_sign,sim_1000kw_1m2_T03,4,20,1.0,12.4,0.2,0.0,7.594588394655725e-05,0.0005577181098726767,7.597004617750806e-05
S2_fds_swarm,sim_1000kw_1m2_T03,4,20,1.0,15.15,0.2,0.0,8.418821240658624e-05,0.0005641043242158457,9.602953500738786e-05
S3_fno_swarm,sim_1000kw_1m2_T03,4,20,1.0,14.85,0.2,0.0,8.27685293322558e-05,0.0005640400385275691,9.13003852509965e-05
S1_fixed_sign,s_028,0,20,1.0,12.1,0.35,0.0,6.619414294479594e-05,0.0001262337058127747,0.00011091064849985113
S2_fds_swarm,s_028,0,20,1.0,15.3,0.45,0.0,8.398832332459557e-05,0.0001895495965579001,0.00012177469387395855
S3_fno_swarm,s_028,0,20,1.0,15.05,0.5,0.0,8.467044080339933e-05,0.00021105395848541788,0.00012254098041252927
S1_fixed_sign,s_028,1,20,1.0,12.35,0.5,0.0,7.444056163588697e-05,0.0002409775666737105,0.00013936617242261528
S2_fds_swarm,s_028,1,20,1.0,25.35,0.35,0.0,0.000125411897992994,0.000183897065062908,0.00017750278834014732
S3_fno_swarm,s_028,1,20,1.0,17.65,0.35,0.0,9.490227534285727e-05,0.0001974451552629914,0.0001486160374821998
S1_fixed_sign,s_028,2,20,1.0,12.65,0.85,0.0,7.910858490365427e-05,0.0002501430122221644,0.00015682687115564655
S2_fds_swarm,s_028,2,20,1.0,14.75,0.85,0.0,8.979617268149766e-05,0.00027988148629464697,0.00015810052279260792
S3_fno_swarm,s_028,2,20,1.0,14.15,0.85,0.0,8.763103823863592e-05,0.00027988148629464697,0.00015810052279260792
S1_fixed_sign,s_028,3,20,1.0,10.7,0.55,0.0,6.771234882453015e-05,0.00020146512941795596,0.00011245536997678267
S2_fds_swarm,s_028,3,20,1.0,14.05,0.35,0.0,8.350196211035959e-05,0.00015200592796400152,0.00014529929625093358
S3_fno_swarm,s_028,3,20,1.0,14.7,0.35,0.0,8.836762920345886e-05,0.00016284190196167096,0.000150529804034603
S1_fixed_sign,s_028,4,20,1.0,12.4,0.4,0.0,6.637861018395815e-05,0.00022384615385198116,9.64400863467425e-05
S2_fds_swarm,s_028,4,20,1.0,14.7,0.4,0.0,7.491424387973418e-05,0.00023304136067173298,0.00010185280723748116
S3_fno_swarm,s_028,4,20,1.0,14.85,0.4,0.0,7.53068412951984e-05,0.00023279376616042524,0.00010198931276237274
